bug_id,long_description,severity_category
BUGZILLA-294734,"2.16.9 is broken -- many users can't enter bugs on it particularly not from a
fresh install. So we need to pull 2.16.9 and post a 2.16.10 instead.",blocker
SUPPORT.MOZILLA.ORG-398246,"Adding support for custom headers and cookie names involves two steps:
* making session names configurable
* disabling auto-start for sessions

This can be accomplished in tiki-setup_base.php though it means in turn that all pages dependent on the hard-coded PHPSESSID cookie along with the basic session handler all need to be refactored to not assume there is a pre-existing session.

I'm looking at re-implementing some session libs I have from before.  Should do the trick.

This is a chicken/egg problem since we want to use non-default cookie names for NS rules.  We can't have the app auto-setting the cookie while simultaneously passing cache headers.  We need to separate the behavior so it's consistent and predictable for the proxy cache.

ETA is Thurs.  This affect performance and for a couple of reasons it blocks bug 398239.",blocker
CORE-254510,"The patch in bug 253597 regressed the fix from bug 200433 (the ShouldProcess
never blocks anything now).  See bug 253597 comment 9 for more information.

It'd be nice to fix this before next week's freeze...",major
CORE-128371,"From Bugzilla Helper:
User-Agent: Mozilla/5.0 (X11 U Linux i686 en-US rv:0.9.8) Gecko/20020205
BuildID:    2002020511

Menu items which you can click on the left edge are not displayed.
This works with the latest internet explorer.


Reproducible: Always
Steps to Reproduce:
1.just display the page
2.
3.

Actual Results:  the menu items were not displayed and I could not click them

Expected Results:  It should have displayed the menu items.",major
BUGZILLA-58242,"I found it odd that relogin.cgi didn't clear out someone's entry(ies) from the
logincookies table after it logged them out relying instead on
confirm_login() to clear them after they get 30 days old.  A table can fill up
fast that way.  I've solved this by adding these two lines to relogin.cgi just
after the line that says 'require CGI.pl':

ConnectToDatabase()
SendSQL(delete from logincookies where userid= .
DBname_to_id(url_decode($::COOKIE{Bugzilla_login})))

(The url_decode is in there because I found I sometimes had %40 instead of @
in the Bugzilla_login cookie and thus it wouldn't recognize the login...)

Just wanted to share :)",minor
MOZILLA.ORG_GRAVEYARD-516424,MDC appears to have lost all its preferences. What's going on?,blocker
TECH_EVANGELISM_GRAVEYARD-234372,"User-Agent:       
Build Identifier: Mozilla/5.0 (Windows U Windows NT 5.1 en-US rv:1.6) Gecko/20040206 Firefox/0.8

The navigation part of Yahoo Mail is way wider than it is in IE.  I mean it
covers the ENTIRE screen and you have to use a highly-annoying horizontal scroll
bar at the bottom.

Reproducible: Always
Steps to Reproduce:
1. Log into Yahoo mail.
2. If the problem did not happen in the first try read a message.
3. After reading 1-2 messages it ALWAYS happens to me.
Actual Results:  
The navigation part (with inbox etc links) was very very wide.

Expected Results:  
It should have stayed neatly on the left side as the Yahoo web designers
obviously intended it to.

I'm running Mozilla Firebird (I mean Firefox) with a Feb 14th nightly build. I'm
in 1024x768 screen resolution.",minor
CALENDAR-279165,"General problem for both BeOS version (netserver and BONE)
is
#ifdef HAVE_STDINT_H
#include 
#endif
in mozilla/calendar/libical/src/libical/icalrecur.c  line 138.
BeOS has inttypes.h

Don't know what place is better to change configure files with check to 
AC_CHECK_HEADERS(stdint.h inttypes.h)

or just icalrecur.c file with #if defined(BeOS)
-----------
Second poblem is in libxpical and specific for BONE versions of BeOS.
mozilla/calendar/libxpical/token.c
contains
#ifdef XP_BEOS
#include 
#endif
which is OK only for netserver version.
in case of BONE version all required definitions are in standard header files
so this ifdef must be ommited.",critical
WEBTOOLS_GRAVEYARD-324513,"If you don't use the showbuilds.cgi?tree=Foo URLs but /Foo/ you get an index
of the directory as long as there are no builds on that box yet.

panel.html even 404s.

It should give a tree is open/closed message instead I guess.

Actually for a newly created tree the showbuilds.cgi itself doesn't mention
open or closed either.",minor
CORE-228804,"User-Agent:       Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.3b) Gecko/20030212
Build Identifier: Mozilla/5.0 (Macintosh U PPC Mac OS X Mach-O en-US rv:1.3b) Gecko/20030212

See screenshot at:

http://web.mit.edu/jamous/www/mathml/mozilla1.3b.gif

on MathML torture test (see URL above) tests 5 8 13 16 18 19 21 and 22
are broken.

This problem has happened in all the Mozilla versions since 1.3 beta.

Reproducible: Always

Steps to Reproduce:
1. get Mozilla version 1.3 beta or any version later
2. go to the MathML torture test at:
http://www.mozilla.org/projects/mathml/demo/texvsmml.xhtml


Actual Results:  
screenshot at:

http://web.mit.edu/jamous/www/mathml/mozilla1.3b.gif

Expected Results:  
give a MathML rendering at least as good as the ones obtained with versions 1.3a
and earlier -- see following screenshot with Mozilla 1.3a:

http://web.mit.edu/jamous/www/mathml/mozilla1.3a.gif

This bug showed up between versions

1.3 alpha and 1.3 beta.",major
